Anomaly Scores,Id
76.35,0
52.89,1
20.17,2
44.01,3
22.94,4
14.86,5
31.63,6
8.1,7
43.53,8
7.49,9
66.76,10
3.6,11
25.22,12
75.4,13
13.31,14
5.02,15
99.12,16
89.95,17
22.89,18
35.64,19
55.79,20
56.25,21
69.24,22
17.28,23
52.46,24
82.63,25
95.59,26
36.15,27
20.78,28
0.77,29
43.69,30
64.64,31
66.03,32
49.27,33
25.16,34
45.87,35
8.39,36
67.27,37
13.82,38
42.1,39
54.95,40
52.31,41
88.78,42
72.52,43
54.71,44
17.83,45
62.69,46
96.03,47
91.98,48
12.28,49
20.56,50
76.36,51
22.93,52
54.89,53
14.19,54
35.33,55
77.27,56
55.31,57
4.6,58
87.24,59
64.91,60
21.37,61
80.07,62
56.99,63
82.15,64
47.15,65
18.76,66
62.71,67
7.28,68
40.38,69
40.47,70
41.84,71
13.44,72
26.69,73
17.84,74
12.67,75
47.96,76
20.94,77
13.88,78
7.72,79
62.48,80
42.05,81
36.54,82
66.06,83
99.29,84
84.03,85
86.87,86
11.16,87
16.07,88
43.68,89
80.82,90
30.2,91
76.98,92
4.25,93
92.66,94
7.36,95
78.17,96
51.85,97
13.54,98
60.14,99
38.18,100
56.2,101
40.78,102
14.11,103
47.69,104
92.27,105
38.36,106
10.29,107
52.98,108
83.78,109
43.54,110
7.86,111
86.21,112
31.16,113
13.91,114
10.47,115
35.0,116
91.98,117
95.51,118
8.26,119
78.59,120
54.0,121
91.4,122
65.79,123
10.8,124
54.23,125
6.24,126
95.84,127
4.28,128
88.36,129
15.98,130
45.11,131
24.37,132
41.2,133
65.24,134
22.41,135
90.93,136
53.22,137
0.02,138
25.62,139
19.58,140
2.58,141
63.2,142
53.07,143
12.47,144
62.08,145
66.78,146
4.87,147
70.12,148
40.91,149
1.46,150
56.2,151
44.84,152
55.43,153
85.08,154
9.59,155
20.62,156
56.79,157
63.37,158
89.54,159
58.85,160
18.48,161
28.48,162
95.57,163
93.27,164
9.38,165
79.21,166
27.88,167
10.53,168
78.48,169
19.77,170
16.22,171
55.03,172
40.7,173
26.86,174
88.59,175
78.75,176
92.77,177
23.32,178
46.39,179
46.54,180
98.59,181
30.59,182
39.99,183
40.18,184
50.41,185
41.91,186
78.22,187
64.71,188
68.94,189
27.87,190
29.04,191
45.54,192
90.78,193
99.06,194
47.53,195
75.24,196
2.34,197
80.39,198
50.27,199
19.91,200
10.41,201
68.07,202
54.35,203
1.5,204
74.14,205
62.42,206
51.26,207
75.36,208
18.35,209
99.97,210
18.33,211
64.9,212
1.53,213
42.33,214
72.63,215
55.63,216
55.86,217
1.23,218
24.02,219
70.59,220
6.96,221
14.49,222
0.94,223
46.77,224
91.85,225
34.41,226
84.37,227
52.92,228
68.43,229
96.01,230
43.8,231
23.6,232
84.39,233
83.55,234
41.88,235
95.37,236
87.47,237
82.23,238
56.03,239
76.05,240
54.85,241
87.52,242
31.97,243
92.81,244
12.45,245
5.94,246
45.82,247
79.22,248
3.83,249
81.86,250
64.09,251
90.6,252
61.37,253
41.04,254
42.44,255
9.92,256
94.21,257
49.98,258
61.74,259
95.27,260
40.38,261
36.06,262
0.34,263
5.97,264
7.78,265
75.2,266
70.64,267
70.09,268
48.2,269
67.94,270
76.94,271
83.85,272
60.71,273
37.16,274
2.28,275
44.68,276
72.76,277
38.88,278
63.21,279
30.88,280
23.92,281
42.6,282
85.66,283
1.81,284
24.73,285
56.77,286
69.73,287
2.47,288
81.11,289
32.34,290
8.95,291
80.9,292
22.11,293
8.42,294
17.86,295
18.02,296
31.75,297
68.81,298
38.54,299
9.59,300
44.77,301
87.92,302
44.79,303
33.56,304
60.22,305
80.66,306
15.95,307
39.27,308
5.76,309
72.24,310
91.81,311
81.92,312
37.86,313
45.97,314
79.47,315
65.54,316
24.84,317
25.53,318
86.71,319
35.07,320
59.5,321
11.32,322
21.28,323
13.2,324
64.56,325
83.32,326
11.94,327
78.26,328
4.78,329
49.69,330
12.46,331
21.26,332
12.58,333
0.74,334
79.2,335
8.59,336
3.62,337
89.03,338
14.36,339
34.76,340
28.6,341
77.12,342
58.19,343
55.56,344
90.1,345
19.0,346
55.9,347
69.4,348
25.25,349
77.22,350
17.63,351
6.53,352
14.37,353
88.55,354
32.71,355
2.58,356
91.86,357
65.67,358
60.4,359
63.26,360
63.32,361
98.21,362
89.93,363
27.01,364
27.85,365
31.26,366
36.33,367
8.92,368
89.76,369
50.74,370
29.33,371
79.01,372
90.68,373
26.82,374
39.6,375
26.54,376
52.51,377
77.74,378
46.87,379
88.74,380
94.59,381
80.84,382
47.83,383
90.94,384
24.61,385
65.57,386
57.37,387
41.04,388
59.63,389
35.43,390
8.53,391
23.01,392
53.77,393
29.73,394
5.93,395
32.45,396
15.29,397
14.2,398
30.26,399
33.5,400
99.27,401
45.54,402
11.79,403
40.33,404
87.19,405
26.04,406
42.49,407
78.4,408
3.93,409
62.28,410
77.76,411
46.63,412
31.93,413
45.36,414
5.07,415
62.58,416
62.21,417
42.17,418
60.51,419
23.89,420
51.95,421
42.14,422
58.58,423
40.97,424
52.74,425
6.56,426
72.38,427
29.84,428
68.18,429
58.82,430
30.98,431
98.64,432
41.07,433
67.03,434
26.22,435
61.01,436
77.78,437
19.23,438
19.74,439
14.12,440
49.08,441
24.55,442
34.78,443
94.14,444
26.83,445
40.66,446
59.43,447
51.99,448
40.06,449
42.6,450
67.34,451
35.74,452
2.28,453
61.92,454
32.7,455
46.9,456
20.33,457
81.04,458
81.2,459
5.35,460
87.14,461
68.81,462
31.78,463
40.29,464
91.89,465
79.09,466
50.65,467
89.72,468
79.6,469
64.88,470
83.73,471
99.24,472
17.01,473
8.0,474
98.38,475
44.24,476
28.88,477
51.35,478
29.8,479
76.22,480
20.68,481
59.44,482
68.1,483
90.02,484
91.03,485
69.6,486
65.26,487
41.09,488
84.66,489
3.94,490
64.73,491
80.08,492
60.33,493
87.88,494
29.43,495
83.77,496
12.62,497
49.67,498
81.53,499
4.43,500
87.49,501
22.18,502
90.03,503
47.15,504
21.46,505
35.99,506
21.34,507
58.89,508
4.86,509
25.39,510
15.92,511
6.89,512
90.77,513
19.52,514
6.72,515
54.47,516
76.75,517
9.8,518
13.88,519
34.5,520
50.96,521
49.32,522
58.04,523
6.56,524
26.59,525
6.49,526
89.23,527
14.46,528
48.37,529
50.02,530
45.72,531
47.62,532
38.8,533
77.3,534
84.15,535
70.46,536
31.75,537
70.5,538
49.12,539
47.34,540
46.86,541
72.74,542
94.01,543
95.6,544
77.2,545
42.14,546
32.4,547
77.94,548
13.66,549
6.11,550
25.94,551
90.56,552
44.37,553
21.47,554
21.4,555
48.39,556
19.55,557
92.04,558
24.99,559
44.46,560
54.88,561
57.96,562
90.83,563
52.66,564
1.01,565
98.86,566
9.19,567
25.42,568
98.25,569
10.01,570
89.14,571
19.92,572
58.33,573
9.76,574
30.46,575
30.01,576
79.02,577
13.88,578
57.45,579
25.33,580
91.6,581
95.59,582
35.15,583
42.42,584
92.36,585
68.02,586
53.8,587
26.95,588
39.2,589
4.72,590
80.5,591
25.13,592
96.36,593
76.38,594
62.58,595
51.39,596
68.89,597
24.85,598
4.56,599
86.85,600
60.2,601
69.5,602
34.75,603
10.38,604
59.3,605
24.15,606
37.25,607
15.35,608
28.59,609
76.1,610
52.67,611
93.92,612
27.03,613
19.14,614
34.67,615
46.01,616
74.1,617
34.15,618
86.19,619
4.31,620
80.96,621
33.48,622
88.36,623
96.15,624
31.81,625
39.46,626
6.98,627
31.05,628
48.12,629
90.19,630
44.64,631
40.18,632
27.28,633
40.43,634
23.63,635
72.4,636
14.24,637
62.06,638
1.82,639
88.63,640
99.37,641
54.93,642
37.97,643
6.18,644
33.1,645
49.55,646
18.52,647
12.22,648
41.08,649
51.73,650
7.11,651
17.79,652
35.39,653
49.0,654
71.42,655
91.23,656
54.58,657
74.75,658
0.25,659
28.0,660
98.36,661
87.34,662
8.2,663
97.05,664
17.42,665
93.76,666
73.95,667
87.84,668
12.69,669
58.24,670
91.36,671
57.35,672
98.86,673
90.66,674
92.43,675
38.26,676
57.09,677
34.88,678
63.52,679
30.65,680
40.57,681
27.83,682
24.02,683
41.9,684
46.83,685
32.89,686
76.36,687
60.19,688
98.57,689
19.27,690
96.01,691
50.45,692
8.11,693
48.27,694
51.49,695
68.26,696
70.68,697
17.84,698
62.49,699
8.21,700
9.9,701
16.83,702
33.35,703
67.02,704
8.18,705
63.29,706
27.6,707
25.69,708
16.32,709
16.42,710
81.03,711
55.95,712
89.97,713
50.31,714
55.34,715
83.4,716
20.14,717
1.19,718
32.56,719
79.46,720
11.16,721
46.89,722
83.28,723
20.11,724
2.89,725
48.25,726
52.33,727
31.8,728
39.68,729
60.87,730
22.85,731
66.84,732
18.59,733
26.67,734
80.56,735
46.92,736
54.67,737
78.43,738
61.71,739
56.62,740
63.03,741
41.42,742
14.38,743
88.91,744
38.51,745
46.85,746
77.99,747
35.21,748
65.74,749
93.19,750
67.39,751
56.29,752
0.5,753
44.5,754
69.1,755
19.14,756
99.9,757
71.8,758
84.94,759
31.69,760
86.24,761
62.57,762
87.38,763
10.43,764
1.67,765
14.1,766
13.22,767
80.16,768
28.34,769
42.05,770
18.68,771
76.87,772
29.13,773
32.43,774
41.5,775
